ATP6V0E1	atp6v0e1
ATP6V0E2	atp6v0e2
RNF128	rnf128
CFP	cfp
AAAS	aaas
HAMP	hamp
ZNF394	znf394
UVRAG	uvrag
SIDT1	sidt1
SERPINA10	serpina10
SIDT2	sidt2
TUBA4A	tuba4a
SIX4	six4
SIX5	six5
SIX6	six6
PSMB10	psmb10
PM20D1	pm20d1
MR1	mr1
OR2T3	or2t3
SIX3	six3
CNPY4	cnpy4
CNPY3	cnpy3
CNPY2	cnpy2
CNPY1	cnpy1
NODAL	nodal
UFD1	ufd1
ANKRD30BL	ankrd30bl
KNDC1	kndc1
HMG20A	hmg20a
HMG20B	hmg20b
PHOSPHO2	phospho2
AAGAB	aagab
C4orf19	c4orf19
SLC7A6OS	slc7a6os
C4orf17	c4orf17
C3orf70	c3orf70
MRO	mro
ZFP82	zfp82
CHFR	chfr
RTBDN	rtbdn
SMDT1	smdt1
GPR75	gpr75
SYPL2	sypl2
RFPL4AL1	rfpl4al1
NPR3	npr3
SLCO1C1	slco1c1
RFX4	rfx4
OSCAR	oscar
AVPR2	avpr2
RFX7	rfx7
NRXN3	nrxn3
NRXN2	nrxn2
NRXN1	nrxn1
RFX3	rfx3
TRAPPC1	trappc1
YDJC	ydjc
IBA57	iba57
VPS37D	vps37d
NLRP13	nlrp13
APC	apc
TMEM179B	tmem179b
ABCE1	abce1
UQCRC2	uqcrc2
XPNPEP1	xpnpep1
XPNPEP2	xpnpep2
STXBP4	stxbp4
GGCX	ggcx
PAPLN	papln
ADNP	adnp
TMEM218	tmem218
STXBP6	stxbp6
KHDRBS1	khdrbs1
KHDRBS3	khdrbs3
GGCT	ggct
NLRP12	nlrp12
ZNF395	znf395
STAC3	stac3
TBL1Y	tbl1y
LHCGR	lhcgr
OR1Q1	or1q1
TMEM127	tmem127
GPR78	gpr78
VPS37B	vps37b
MKRN2OS	mkrn2os
UQCRHL	uqcrhl
ZBED4	zbed4
ATP5IF1	atp5if1
C11orf1	c11orf1
DPYSL5	dpysl5
DPYSL2	dpysl2
DPYSL3	dpysl3
NCBP2-AS2	ncbp2_as2
KRTAP10-12	krtap10_12
KRTAP10-11	krtap10_11
KRTAP10-10	krtap10_10
IGFBP2	igfbp2
IGFBP3	igfbp3
IGFBP1	igfbp1
BOP1	bop1
IGFBP7	igfbp7
IGFBP4	igfbp4
IGFBP5	igfbp5
SKP2	skp2
TTC4	ttc4
CYP2R1	cyp2r1
CKLF	cklf
GJA1	gja1
GJA3	gja3
APLNR	aplnr
GJA5	gja5
RUNX3	runx3
GJA8	gja8
CYP8B1	cyp8b1
S1PR2	s1pr2
KDM3B	kdm3b
ZNF117	znf117
ZNF114	znf114
KDM3A	kdm3a
ZNF112	znf112
S1PR1	s1pr1
PPP6R3	ppp6r3
TMC4	tmc4
MYO3A	myo3a
TMC6	tmc6
KIAA1958	kiaa1958
APIP	apip
TMC1	tmc1
GPR15	gpr15
TMC3	tmc3
PKLR	pklr
TECRL	tecrl
EIF2B4	eif2b4
EIF2B5	eif2b5
EIF2B2	eif2b2
EIF2B3	eif2b3
EIF2B1	eif2b1
PRKAR2A	prkar2a
PRKAR2B	prkar2b
XRRA1	xrra1
MAGT1	magt1
TXNIP	txnip
SLC36A4	slc36a4
S1PR4	s1pr4
MLF1	mlf1
QPRT	qprt
IFT140	ift140
MLF2	mlf2
TMEM14C	tmem14c
TMEM14B	tmem14b
TMEM14A	tmem14a
FANCF	fancf
MECOM	mecom
ITGA2B	itga2b
RSPH1	rsph1
IFI16	ifi16
TTC1	ttc1
LURAP1	lurap1
TPBGL	tpbgl
C9orf129	c9orf129
MYT1L	myt1l
SHOX2	shox2
CEPT1	cept1
CFHR2	cfhr2
CFHR3	cfhr3
CLIC4	clic4
CLIC5	clic5
CLIC2	clic2
CLIC3	clic3
CFHR4	cfhr4
CFHR5	cfhr5
KRTAP2-3	krtap2_3
KRTAP2-2	krtap2_2
KRTAP2-1	krtap2_1
ZBED5	zbed5
KRTAP2-4	krtap2_4
TMEM147	tmem147
ASGR1	asgr1
ASGR2	asgr2
TMEM144	tmem144
FOXL2	foxl2
RIT1	rit1
TMEM141	tmem141
FOXL1	foxl1
SF1	sf1
SKOR2	skor2
API5	api5
NUMBL	numbl
SUGP2	sugp2
RTKN2	rtkn2
P2RX7	p2rx7
SOWAHA	sowaha
SECISBP2L	secisbp2l
SOWAHC	sowahc
SOWAHD	sowahd
HAS2	has2
HLA-DPA1	hla_dpa1
FAM32A	fam32a
HAS3	has3
KIAA1191	kiaa1191
FER1L6	fer1l6
VAMP3	vamp3
VMP1	vmp1
FER1L5	fer1l5
ZNF559	znf559
DENND4C	dennd4c
VWA1	vwa1
PRPH2	prph2
ZMAT3	zmat3
ZMAT2	zmat2
ZMAT5	zmat5
ZMAT4	zmat4
C19orf24	c19orf24
C19orf25	c19orf25
MYBL1	mybl1
NR1D1	nr1d1
NR1D2	nr1d2
DRD1	drd1
ITGB1BP1	itgb1bp1
ITGB1BP2	itgb1bp2
ZNF7	znf7
ZNF2	znf2
ZNF3	znf3
CTCFL	ctcfl
UFSP1	ufsp1
RNF182	rnf182
ZNF8	znf8
PCP4L1	pcp4l1
C11orf16	c11orf16
ZAP70	zap70
TXNRD3NB	txnrd3nb
SQOR	sqor
SYNDIG1	syndig1
OGFR	ogfr
EPM2AIP1	epm2aip1
CDC5L	cdc5l
NEMP1	nemp1
RAC3	rac3
NEMP2	nemp2
SBDS	sbds
RCL1	rcl1
SBK2	sbk2
CPLX2	cplx2
CPLX3	cplx3
CPLX1	cplx1
AP2A1	ap2a1
CPLX4	cplx4
AP2A2	ap2a2
VCX	vcx
NIM1K	nim1k
CADPS	cadps
FIGNL1	fignl1
PBX2	pbx2
PBX3	pbx3
PBX1	pbx1
AIRE	aire
TMOD2	tmod2
MFSD11	mfsd11
NSUN2	nsun2
NSUN5	nsun5
NSUN4	nsun4
NSUN7	nsun7
NSUN6	nsun6
PRAMEF4	pramef4
PRAMEF5	pramef5
PRAMEF6	pramef6
PRAMEF7	pramef7
FAM71F1	fam71f1
PRAMEF1	pramef1
PRAMEF2	pramef2
FAM71F2	fam71f2
PTCH2	ptch2
OR7G1	or7g1
PRAMEF8	pramef8
PRAMEF9	pramef9
PAGR1	pagr1
KMT5B	kmt5b
KMT5C	kmt5c
RAD9A	rad9a
KMT5A	kmt5a
ERGIC2	ergic2
ERGIC3	ergic3
CDR2L	cdr2l
ERGIC1	ergic1
CLEC14A	clec14a
PDF	pdf
B3GAT3	b3gat3
B3GAT2	b3gat2
B3GAT1	b3gat1
SRSF11	srsf11
CPPED1	cpped1
UXT	uxt
CALM2	calm2
CALM3	calm3
SPG21	spg21
CALM1	calm1
GSDMA	gsdma
GSDMB	gsdmb
GSDMC	gsdmc
GSDMD	gsdmd
GSDME	gsdme
UPK1B	upk1b
DLGAP2	dlgap2
DLGAP3	dlgap3
DLGAP1	dlgap1
DLGAP4	dlgap4
DLGAP5	dlgap5
BRDT	brdt
HRH2	hrh2
MBNL2	mbnl2
MBNL3	mbnl3
SRSF10	srsf10
PLK3	plk3
A1BG	a1bg
SEMA7A	sema7a
PLK2	plk2
ZNF720	znf720
OIP5	oip5
CLCN3	clcn3
CLCN2	clcn2
CLCN1	clcn1
HRH1	hrh1
CLCN7	clcn7
CLCN6	clcn6
CLCN5	clcn5
CLCN4	clcn4
FBXL19	fbxl19
BRD8	brd8
BRD9	brd9
BRD4	brd4
SPAAR	spaar
BRD7	brd7
BRD1	brd1
BRD2	brd2
BRD3	brd3
DNAJA2	dnaja2
DNAJA3	dnaja3
DNAJA1	dnaja1
SPAG4	spag4
DNAJA4	dnaja4
GLG1	glg1
PTPN13	ptpn13
PTPN12	ptpn12
PTPN11	ptpn11
LRFN1	lrfn1
MYCBP	mycbp
PTPN14	ptpn14
GALR3	galr3
GALR2	galr2
GALR1	galr1
SETD1B	setd1b
LYAR	lyar
PCDH20	pcdh20
CH25H	ch25h
C16orf74	c16orf74
MRPL24	mrpl24
MRPL27	mrpl27
CSF2RA	csf2ra
DMD	dmd
C16orf71	c16orf71
C16orf72	c16orf72
MRPL22	mrpl22
GAB4	gab4
LRFN4	lrfn4
C16orf78	c16orf78
GAB3	gab3
GAB1	gab1
C2orf81	c2orf81
C2orf80	c2orf80
C2orf83	c2orf83
ZNF853	znf853
NPTX2	nptx2
HABP2	habp2
NKX2-3	nkx2_3
C2orf88	c2orf88
NDRG2	ndrg2
NDRG3	ndrg3
NDRG4	ndrg4
TBC1D9	tbc1d9
ZSCAN2	zscan2
SRSF5	srsf5
SRSF4	srsf4
PRAP1	prap1
SRSF6	srsf6
SRSF1	srsf1
CHD1L	chd1l
SRSF3	srsf3
HOXA6	hoxa6
MZB1	mzb1
SRSF9	srsf9
HOXA5	hoxa5
DNAJB13	dnajb13
DNAJB12	dnajb12
DNAJB11	dnajb11
HOXA4	hoxa4
HLA-DQB1	hla_dqb1
MSMB	msmb
DNAJB14	dnajb14
RNF138	rnf138
HOXA3	hoxa3
ENOSF1	enosf1
HOXA2	hoxa2
CISD2	cisd2
CISD3	cisd3
CISD1	cisd1
CLNS1A	clns1a
HOXA1	hoxa1
R3HDML	r3hdml
TSHZ2	tshz2
TSHZ3	tshz3
EIF4E1B	eif4e1b
GID8	gid8
MRC2	mrc2
FOXS1	foxs1
VILL	vill
ZNF581	znf581
IGLL1	igll1
MCOLN1	mcoln1
ZNF582	znf582
TIPARP	tiparp
ZNF584	znf584
ZNF587	znf587
HAPLN4	hapln4
ZNF589	znf589
ZNF723	znf723
THSD1	thsd1
TMEM115	tmem115
RELA	rela
COL4A6	col4a6
IGLL5	igll5
LSM12	lsm12
PSD	psd
UXS1	uxs1
CAMKK2	camkk2
CAMKK1	camkk1
MYDGF	mydgf
HOXA9	hoxa9
OR8U1	or8u1
LPAR5	lpar5
ZP3	zp3
ZP2	zp2
MTRF1L	mtrf1l
MYO1H	myo1h
MYO1G	myo1g
MYO1F	myo1f
MYO1E	myo1e
MYO1D	myo1d
MYO1C	myo1c
MYO1B	myo1b
MYO1A	myo1a
GRN	grn
MTFP1	mtfp1
LCN6	lcn6
CHMP3	chmp3
RPL36AL	rpl36al
RAET1G	raet1g
KIAA0391	kiaa0391
DENND6B	dennd6b
CHMP6	chmp6
BCR	bcr
DENND6A	dennd6a
OR52N4	or52n4
OR52N5	or52n5
OR52N2	or52n2
CTPS2	ctps2
CTPS1	ctps1
LGALSL	lgalsl
SGO2	sgo2
SULT6B1	sult6b1
LY6G6C	ly6g6c
HOXA13	hoxa13
TOMM20L	tomm20l
HOXA11	hoxa11
HOXA10	hoxa10
KRTAP19-2	krtap19_2
KRTAP19-3	krtap19_3
PPIAL4C	ppial4c
KRTAP19-1	krtap19_1
KRTAP19-6	krtap19_6
KRTAP19-7	krtap19_7
KRTAP19-4	krtap19_4
CEP57	cep57
FAM160B1	fam160b1
KRTAP19-8	krtap19_8
FAM160B2	fam160b2
ATAT1	atat1
RAD54B	rad54b
GALNTL5	galntl5
PSMA4	psma4
NEMF	nemf
GALNTL6	galntl6
SRF	srf
LSM11	lsm11
ZNF322	znf322
FAM214A	fam214a
FAM214B	fam214b
SRI	sri
SUN1	sun1
SRL	srl
PRKN	prkn
SRR	srr
LGALS9	lgals9
LGALS8	lgals8
SF3B3	sf3b3
LGALS3	lgals3
LGALS2	lgals2
LGALS1	lgals1
SPECC1	specc1
LGALS7	lgals7
CFAP36	cfap36
LGALS4	lgals4
NMU	nmu
RNF114	rnf114
AKIRIN2	akirin2
AKIRIN1	akirin1
EIF2AK1	eif2ak1
SOCS2	socs2
EIF2AK3	eif2ak3
EIF2AK2	eif2ak2
TDG	tdg
EIF2AK4	eif2ak4
WIPF1	wipf1
SMS	sms
NMB	nmb
EREG	ereg
MYO19	myo19
AVPI1	avpi1
MYO16	myo16
TRNT1	trnt1
ASAP1	asap1
ASAP2	asap2
ASAP3	asap3
OCRL	ocrl
RNF122	rnf122
ATG101	atg101
PLAUR	plaur
KRT28	krt28
HILPDA	hilpda
LOR	lor
LRRC26	lrrc26
LRRC25	lrrc25
LRRC24	lrrc24
KIAA1522	kiaa1522
MPDU1	mpdu1
LRRC20	lrrc20
LOX	lox
LPGAT1	lpgat1
LRRC29	lrrc29
LRRC28	lrrc28
TIMM17B	timm17b
GCNT4	gcnt4
GCNT7	gcnt7
PRKX	prkx
GCNT1	gcnt1
GCNT3	gcnt3
GCNT2	gcnt2
SEMA6B	sema6b
TBX3	tbx3
C14orf132	c14orf132
ZNF165	znf165
MBD3L2B	mbd3l2b
LPCAT4	lpcat4
LPCAT2	lpcat2
LPCAT3	lpcat3
LPCAT1	lpcat1
OSTM1	ostm1
KRT20	krt20
MID1IP1	mid1ip1
INAVA	inava
PIGA	piga
PIGB	pigb
PIGC	pigc
PIGF	pigf
CALCRL	calcrl
PIGH	pigh
TBC1D3	tbc1d3
PIGK	pigk
PIGL	pigl
PIGM	pigm
PIGN	pign
PIGO	pigo
PIGP	pigp
PIGQ	pigq
PIGR	pigr
PIGS	pigs
ILKAP	ilkap
PIGU	pigu
PIGV	pigv
PIGW	pigw
PIGX	pigx
PIGY	pigy
PIGZ	pigz
KRT25	krt25
TMEM80	tmem80
NDFIP2	ndfip2
ELAC1	elac1
ANKLE1	ankle1
CCDC179	ccdc179
TAX1BP3	tax1bp3
ALPP	alpp
RHPN1	rhpn1
INPPL1	inppl1
OLR1	olr1
RHPN2	rhpn2
CCDC170	ccdc170
BBIP1	bbip1
CCDC172	ccdc172
CCDC173	ccdc173
CCDC174	ccdc174
CCDC175	ccdc175
CCDC177	ccdc177
PDK1	pdk1
SUN2	sun2
PDK3	pdk3
PDK2	pdk2
EBP	ebp
PDK4	pdk4
SUN3	sun3
LNPEP	lnpep
ALPI	alpi
MFAP2	mfap2
SEC61A1	sec61a1
SEC61A2	sec61a2
ALPL	alpl
PTGS2	ptgs2
PECR	pecr
DDHD2	ddhd2
PPP2R3B	ppp2r3b
MGST3	mgst3
OGFRL1	ogfrl1
PUF60	puf60
ZFAND4	zfand4
SV2B	sv2b
ZFAND1	zfand1
MYO5B	myo5b
TMEM82	tmem82
OR11G2	or11g2
PPID	ppid
PLVAP	plvap
CEP128	cep128
SLC39A10	slc39a10
SLC39A11	slc39a11
SLC39A14	slc39a14
SCN2B	scn2b
CEP120	cep120
EIF1AX	eif1ax
EIF1AY	eif1ay
NTRK2	ntrk2
CEP126	cep126
ARHGAP23	arhgap23
ARHGAP22	arhgap22
ARHGAP21	arhgap21
ARHGAP20	arhgap20
ARHGAP27	arhgap27
ARHGAP26	arhgap26
ARHGAP25	arhgap25
ARHGAP24	arhgap24
NARFL	narfl
ARHGAP29	arhgap29
ARHGAP28	arhgap28
PCGF1	pcgf1
SYDE1	syde1
DDIT3	ddit3
DDIT4	ddit4
NFKBIL1	nfkbil1
SLCO4C1	slco4c1
RBFA	rbfa
COL19A1	col19a1
RIIAD1	riiad1
NKRF	nkrf
